age,job,saving_accounts,checking_account,credit_amount,duration,purpose,risk
29,2,moderate,moderate,2896,24,radio/TV,good
44,1,,little,4716,6,car,good
28,2,little,,2284,24,radio/TV,good
50,2,quite rich,,1236,6,car,good
29,2,little,moderate,1103,12,radio/TV,good
38,0,little,,926,12,car,good
24,2,little,,1800,18,radio/TV,good
40,3,little,rich,1905,15,education,good
29,1,quite rich,,1123,12,furniture/equipment,bad
46,2,little,little,6331,48,car,bad
47,2,moderate,rich,1377,24,radio/TV,good
41,2,moderate,moderate,2503,30,business,good
32,2,little,moderate,2528,27,business,good
35,2,quite rich,,5324,15,car,good
24,2,moderate,moderate,6560,48,car,bad
25,2,little,moderate,2969,12,furniture/equipment,bad
25,2,little,moderate,1206,9,radio/TV,good
37,1,little,moderate,2118,9,radio/TV,good
32,3,quite rich,,629,18,radio/TV,good
35,2,little,little,1198,6,education,bad
46,3,,,2476,21,car,good
25,1,little,little,1138,9,radio/TV,good
27,3,little,moderate,14027,60,car,bad
63,2,,,7596,30,car,good
40,2,,,3077,30,radio/TV,good
32,3,little,,1505,18,radio/TV,good
31,2,,rich,3148,24,radio/TV,good
31,2,moderate,moderate,6148,20,car,good
34,3,little,rich,1337,9,radio/TV,bad
24,2,rich,moderate,433,6,education,bad
24,1,little,little,1228,12,car,bad
66,1,quite rich,moderate,790,9,radio/TV,good
21,2,little,,2570,27,car,bad
41,1,rich,,250,6,car,good
47,1,quite rich,,1316,15,radio/TV,good
25,2,little,little,1882,18,radio/TV,bad
59,2,little,moderate,6416,48,business,bad
36,2,rich,rich,1275,24,business,good
33,2,little,moderate,6403,24,radio/TV,good
21,1,little,little,1987,24,radio/TV,bad
44,1,little,moderate,760,8,radio/TV,good
28,2,rich,,2603,24,car,good
37,2,little,,3380,4,car,good
29,0,,moderate,3990,36,domestic appliances,good
23,3,little,moderate,11560,24,car,bad
35,1,moderate,little,4380,18,car,good
45,3,little,,6761,6,car,good
26,1,moderate,moderate,4280,30,business,bad
32,2,moderate,little,2325,24,car,good
23,1,little,moderate,1048,10,radio/TV,good
41,2,,,3160,21,radio/TV,good
22,2,quite rich,little,2483,24,furniture/equipment,good
30,3,,little,14179,39,furniture/equipment,good
28,1,little,little,1797,13,business,good
23,2,little,little,2511,15,car,good
37,1,little,little,1274,12,car,bad
26,2,,,5248,21,car,good
33,2,little,,3029,15,car,good
49,2,little,little,428,6,furniture/equipment,good
23,1,little,little,976,18,car,bad
23,1,moderate,moderate,841,12,business,good
25,2,little,,5771,30,radio/TV,good
55,2,rich,,1555,12,repairs,bad
32,2,,little,1285,24,car,bad
74,0,little,rich,1299,6,car,good
39,2,,rich,1271,15,radio/TV,bad
31,2,little,,1393,24,car,good
35,2,little,little,691,12,car,bad
59,2,,,5045,15,car,good
24,2,little,little,2124,18,furniture/equipment,bad
24,1,little,little,2214,12,radio/TV,good
30,3,,,12680,21,car,bad
27,2,moderate,,2463,24,car,good
40,1,little,moderate,1155,12,radio/TV,good
31,1,little,little,3108,30,furniture/equipment,bad
31,2,,,2901,10,car,good
28,2,little,moderate,3617,12,furniture/equipment,good
63,1,little,,1655,12,radio/TV,good
26,2,,little,2812,24,car,good
25,3,little,little,8065,36,education,bad
36,3,little,,3275,21,car,good
52,2,moderate,,2223,24,radio/TV,good
66,0,quite rich,rich,1480,12,car,good
25,2,,little,1371,24,car,bad
37,2,little,,3535,36,car,good
25,2,little,little,3509,18,radio/TV,good
38,3,rich,,5711,36,car,good
67,2,little,moderate,3872,18,repairs,good
25,2,little,moderate,4933,39,radio/TV,bad
60,2,rich,,1940,24,car,good
31,1,little,moderate,1410,12,education,good
23,1,moderate,moderate,836,12,car,bad
60,3,,moderate,6468,20,car,good
35,1,rich,moderate,1941,18,business,good
40,2,quite rich,,2675,22,radio/TV,good
38,2,,,2751,48,car,good
50,2,little,moderate,6224,48,education,bad
27,2,little,little,5998,40,education,bad
39,2,little,moderate,1188,21,business,bad
41,3,,,6313,24,car,good
27,2,,,1221,6,furniture/equipment,good
51,2,little,rich,2892,24,furniture/equipment,good
32,2,quite rich,,3062,24,furniture/equipment,good
22,2,moderate,,2301,9,furniture/equipment,good
51,2,,little,7511,18,car,bad
22,1,little,,1258,12,furniture/equipment,good
54,2,,,717,24,car,good
35,0,,moderate,1549,9,car,good
54,2,little,,1597,24,education,good
48,1,little,moderate,1795,18,radio/TV,good
24,2,little,little,4272,20,furniture/equipment,good
35,2,,,976,12,radio/TV,good
24,0,,moderate,7472,12,car,good
24,2,little,little,9271,36,car,bad
26,1,little,moderate,590,6,radio/TV,good
65,2,,,930,12,radio/TV,good
55,3,little,moderate,9283,42,car,good
26,0,little,moderate,1778,15,car,bad
26,2,little,moderate,907,8,business,good
28,1,little,moderate,484,6,radio/TV,good
24,2,little,little,9629,36,car,bad
54,2,little,little,3051,48,domestic appliances,bad
46,2,little,little,3931,48,car,bad
54,2,little,moderate,7432,36,car,good
62,2,quite rich,,1338,6,domestic appliances,good
24,2,little,,1554,6,radio/TV,good
43,3,little,little,15857,36,vacation/others,good
26,2,little,little,1345,18,radio/TV,bad
27,2,little,,1101,12,car,good
24,2,little,rich,3016,12,radio/TV,good
41,2,little,little,2712,36,furniture/equipment,bad
47,1,little,little,731,8,car,good
35,3,little,,3780,18,furniture/equipment,good
30,2,little,little,1602,21,car,good
33,2,little,little,3966,18,car,bad
36,2,little,,4165,18,business,bad
47,2,,little,8335,36,car,bad
38,2,,moderate,6681,48,business,good
44,2,quite rich,,2375,24,business,good
23,2,little,little,1216,18,car,bad
29,2,little,little,11816,45,business,bad
42,2,,moderate,5084,24,radio/TV,good
25,1,little,rich,2327,15,radio/TV,bad
48,2,little,little,1082,12,car,bad
21,2,,,886,12,radio/TV,good
23,1,little,,601,4,furniture/equipment,good
63,2,little,little,2957,24,car,good
46,2,little,,2611,24,radio/TV,good
29,2,little,little,5179,36,furniture/equipment,bad
28,1,little,,2993,21,car,good
23,2,little,,1943,18,repairs,bad
50,2,little,,1559,24,business,good
47,2,little,,3422,18,furniture/equipment,good
35,2,,moderate,3976,21,furniture/equipment,good
68,2,,,6761,18,car,bad
28,2,little,,1249,24,car,good
59,2,little,little,1364,9,radio/TV,good
57,1,little,little,709,12,radio/TV,bad
33,2,little,little,2235,20,car,bad
43,2,,,4042,24,car,good
35,2,little,,1471,15,radio/TV,good
32,1,little,little,1442,18,car,bad
45,2,little,,10875,36,car,good
33,2,moderate,,1474,24,car,good
40,2,,,894,10,education,good
28,2,little,,3343,15,furniture/equipment,good
29,2,little,little,3959,15,car,bad
26,2,moderate,,3577,9,car,good
27,2,rich,,5804,24,car,good
28,2,little,,2169,18,business,bad
35,2,little,little,2439,24,radio/TV,bad
32,1,rich,,4526,27,furniture/equipment,good
25,1,little,,2210,10,furniture/equipment,bad
20,2,quite rich,,2221,15,furniture/equipment,good
27,2,little,little,2389,18,radio/TV,good
42,2,little,,3331,12,furniture/equipment,good
37,2,,,7409,36,business,good
24,2,little,little,652,12,furniture/equipment,good
40,2,quite rich,,7678,36,furniture/equipment,good
46,2,little,rich,1343,6,car,good
26,2,moderate,little,1382,24,business,good
24,2,,,874,15,domestic appliances,good
29,1,little,little,3590,12,furniture/equipment,good
40,2,rich,moderate,1322,11,car,good
36,3,little,little,1940,18,radio/TV,good
28,2,little,,3595,36,radio/TV,good
27,3,little,little,1422,9,car,bad
36,2,,,6742,30,radio/TV,good
38,3,little,,7814,24,car,good
48,2,,,9277,24,car,good
36,2,,moderate,2181,30,car,good
65,0,little,,1098,18,radio/TV,good
43,2,little,moderate,4057,24,furniture/equipment,bad
53,2,little,little,795,12,education,bad
34,2,,moderate,2825,24,business,good
23,2,little,moderate,15672,48,business,bad
34,3,little,,6614,36,car,good
40,2,,,7824,28,car,good
43,3,little,little,2442,27,business,good
46,2,little,,1829,15,radio/TV,good
38,1,little,little,2171,12,car,good
34,2,little,moderate,5800,36,car,good
29,2,,,1169,18,radio/TV,good
31,3,,,8947,36,car,good
28,3,little,little,2606,21,radio/TV,good
35,2,rich,,1592,12,furniture/equipment,good
33,1,,,2186,15,furniture/equipment,good
42,2,little,little,4153,18,furniture/equipment,bad
43,2,little,little,2625,16,car,bad
44,2,,,3485,20,car,good
42,2,,,10477,36,car,good
40,2,,,1386,15,radio/TV,good
36,3,little,,1278,24,radio/TV,good
20,3,little,little,1107,12,radio/TV,good
24,1,,little,3763,21,car,good
27,2,,moderate,3711,36,education,good
46,1,little,,3594,15,car,good
33,1,,moderate,3195,9,car,good
34,2,little,,4454,36,radio/TV,good
25,1,little,moderate,4736,24,furniture/equipment,bad
25,2,,moderate,2991,30,radio/TV,good
28,2,rich,,2142,11,business,good
31,2,little,little,3161,24,business,bad
32,3,little,moderate,18424,48,vacation/others,bad
32,2,moderate,,2848,10,car,good
68,3,little,little,14896,6,car,bad
33,2,moderate,little,2359,24,furniture/equipment,bad
39,3,little,little,3345,24,furniture/equipment,bad
28,2,little,,1817,18,furniture/equipment,good
37,3,quite rich,,12749,48,radio/TV,good
22,2,little,little,1366,9,radio/TV,bad
30,2,little,moderate,2002,12,car,good
55,2,little,little,6872,24,furniture/equipment,bad
46,2,little,little,697,12,car,bad
21,2,little,little,1049,18,furniture/equipment,good
39,2,little,little,10297,48,car,bad
58,2,,,1867,30,radio/TV,good
43,1,little,little,1344,12,car,good
24,1,little,little,1747,24,furniture/equipment,good
22,2,little,moderate,1670,9,radio/TV,bad
30,2,little,,1224,9,car,good
42,2,quite rich,,522,12,radio/TV,good
23,2,little,little,1498,12,radio/TV,good
30,3,moderate,moderate,1919,30,radio/TV,bad
28,1,little,rich,745,9,radio/TV,bad
30,3,little,moderate,2063,6,radio/TV,good
42,2,little,moderate,6288,60,education,bad
46,3,,,6842,24,car,good
45,3,,,3527,12,car,good
31,1,little,,1546,10,car,good
31,2,,,929,24,furniture/equipment,good
42,1,little,,1455,4,car,good
46,2,little,little,1845,15,furniture/equipment,good
30,2,quite rich,moderate,8358,48,car,good
30,2,quite rich,little,3349,24,furniture/equipment,bad
38,3,,,2859,12,car,good
43,1,little,,1533,18,furniture/equipment,bad
31,2,moderate,,3621,24,radio/TV,bad
40,0,little,moderate,3590,18,business,good
24,2,little,little,2145,36,business,bad
28,2,quite rich,moderate,4113,24,car,bad
26,3,little,,10974,36,furniture/equipment,bad
29,2,little,little,1893,12,car,good
57,3,rich,little,1231,24,radio/TV,good
49,1,,rich,3656,30,radio/TV,good
37,1,little,moderate,1154,9,radio/TV,good
45,1,little,little,4006,28,car,bad
30,2,moderate,moderate,3069,24,furniture/equipment,good
30,2,little,,1740,6,radio/TV,good
47,2,little,moderate,2353,21,car,good
29,2,,,3556,15,car,good
35,2,quite rich,,2397,24,radio/TV,bad
22,1,little,moderate,454,6,repairs,good
26,2,,moderate,1715,30,radio/TV,good
23,1,quite rich,moderate,2520,27,radio/TV,bad
54,3,little,,3568,15,radio/TV,good
29,2,,,7166,42,radio/TV,good
40,1,little,little,3939,11,car,good
22,2,moderate,moderate,1514,15,repairs,good
43,1,little,,7393,24,car,good
29,0,little,little,1193,24,car,bad
36,2,little,little,7297,60,business,bad
33,2,little,,2831,30,radio/TV,good
57,1,quite rich,rich,1258,24,radio/TV,good
64,2,little,moderate,753,6,radio/TV,good
42,2,,moderate,2427,18,business,good
47,1,little,,2538,24,car,bad
25,2,moderate,moderate,1264,15,car,bad
49,2,little,moderate,8386,30,furniture/equipment,bad
33,3,little,,4844,48,business,bad
28,3,moderate,rich,2923,21,car,good
26,2,little,little,8229,36,car,bad
30,1,little,,2028,24,furniture/equipment,good
25,2,little,little,1433,15,furniture/equipment,good
33,2,little,rich,6289,42,business,good
64,2,moderate,,1409,13,radio/TV,good
29,3,little,little,6579,24,car,good
48,1,little,moderate,1743,24,radio/TV,good
37,1,,,3565,12,education,good
34,1,moderate,,1569,15,radio/TV,good
23,1,,little,1936,18,radio/TV,good
30,3,little,little,3959,36,furniture/equipment,good
50,2,,,2390,12,car,good
31,1,little,,1736,12,furniture/equipment,good
40,3,little,little,3857,30,car,good
38,2,little,,804,12,radio/TV,good
23,2,little,little,1845,45,radio/TV,bad
27,2,moderate,moderate,4576,45,car,good
